"","State","V1","V2","V3","V4","pctIn","MnIncome","MnIncomeIn","hhOut","MnIncomeOut","pctOut","deltaPct","deltaInc","Market.Pension.Debt.Household","Highest.Marg..Tax.Rate","State_Local.Sales.Tax","AvgWinterTemp","TAX_PROP","Estate","InherTax","MERICCOLIndex","StatePop","StateSpending","StateOpDef","totalPerwt","meanIncomeAll","pctRetiree","dolOut","dolIn","netDolvStSpend","netDolvOpInc","deathTax"
"1","Arizona",6123961,208893831345,213812,7780808305,0.0349140041878124,34110.9016443769,36390.8868772567,121736,32936.1162187028,0.0198786373721191,0.0150353668156933,3454.77065855389,35023,0.0454,0.0825,43.6,0.088,NA,NA,98,6931071,18030,1545975000,26478648,31376.7743101914,0.231279217881517,1049532654.43342,2036710288.20447,0.00912532477140922,0.106424493040643,NA
"2","Florida",20752413,712405099510,570791,23281982557,0.0275048014898316,34328.7838146822,40788.9797789384,307618,33975.1510249725,0.0148232400733351,0.0126815614164965,6813.82875396582,32104,0,0.0666,59.4,0.089,NA,NA,98.3,20612439,50003,8.793e+09,81452465,31147.045257243,0.254779434851972,2644833223.05165,5891760860.21739,0.0108224427773192,0.0615437969059809,NA
"3","Delaware",924466,34279346234,21712,758095538,0.0234859908314638,37080.1589609569,34915.9698784083,11025,43528.6612244898,0.011925803653136,0.0115601871783278,-8612.69134608155,29349,0.066,0,36.1,0.102,1,NA,101.4,952065,7355,-182270000,3781401,35978.4222125609,0.244477113112309,120828051.879938,190870058.051492,0.00158717439772386,0.0640460179692707,1
"4","Nevada",2333719,82467163953,87924,3379183244,0.0376754870659235,35337.2295263483,38433.0017287658,66077,35136.0838718465,0.0283140343803174,0.00936145268560611,3296.91785691927,56695,0,0.0798,32.2,0.081,NA,NA,103.3,2940058,6929,488286000,11237216,31812.4564850404,0.207677684579526,607436439.684599,884115312.01217,0.00665509386461661,0.0944388030538015,NA
"5","South Carolina",4794073,153804509278,103383,4067664175,0.0215647529772701,32082.2209586713,39345.5807531219,60805,32729.0317572568,0.0126833696524855,0.00888138332478458,6616.54899586508,34394,0.07,0.0722,46.1,0.084,NA,NA,99.2,4961119,14926,1471147000,19397250,29325.6106461483,0.24715219940971,508993142.75479,1040362217.54176,0.00593337213349152,0.0601989552808077,NA
"6","Idaho",1386935,43431279358,36197,1245599749,0.026098555447804,31314.5744811401,34411.6846423737,26599,32542.2556111132,0.0191782599761344,0.00692029547166954,1869.42903126048,25949,0.074,0.0603,25.4,0.093,NA,NA,92.1,1683140,4776,976570000,6288933,29279.6177041479,0.220535820623308,231662764.563556,333366369.387599,0.00354912077135827,0.0173572819193781,NA
"7","Oregon",3758288,127644626300,77043,2943383435,0.0204994933863504,33963.5031429204,38204.4239580494,59134,35115.689332702,0.0157342917839186,0.00476520160243174,3088.7346253474,57844,0.099,0,34,0.103,1,NA,115.6,4093465,22091,1188500000,16127631,32854.5802165861,0.233034101536673,527058665.844007,747080403.361924,0.00165996512545016,0.0308542613263101,1
"8","Georgia",7688017,253931071958,126603,4246873735,0.0164675754489096,33029.4628586279,33544.8112209031,92501,35488.8133425585,0.0120318412407257,0.00443573420818398,-1944.00212165532,33590,0.06,0.0701,47.8,0.091,NA,NA,91.4,10310371,30593,1503677000,39646552,31386.7988288616,0.193913886887314,853702936.251511,1104430059.84494,0.00136592860890526,0.0277904456424077,NA
"9","Alabama",4871959,149104429715,62740,2062108550,0.0128777766807972,30604.6150460215,32867.525502072,42372,30193.0226564713,0.0086971175250038,0.00418065915579339,2674.50284560079,37424,0.05,0.0897,46.5,0.087,NA,NA,91.2,4863300,14990,465459000,19550878,28811.0789107272,0.249193872520712,318236765.226339,512951516.101476,0.00216494052562972,0.0697214115081877,NA
"10","North Carolina",9127805,288320244799,147283,5769915001,0.0161356426873712,31587.0293897602,39175.7025658087,111256,31324.2013464442,0.0121886915857646,0.00394695110160657,7851.50121936444,22066,0.0575,0.069,42.1,0.098,NA,NA,93.9,10146788,30426,3980682000,39692516,31182.3996761505,0.229962872597948,890888610.200015,1474991010.72773,0.00319957931006223,0.0244557088679662,NA
