"","State","V1","V2","V3","V4","pctIn","MnIncome","MnIncomeIn","hhOut","MnIncomeOut","pctOut","deltaPct","deltaInc","Market.Pension.Debt.Household","Highest.Marg..Tax.Rate","State_Local.Sales.Tax","AvgWinterTemp","TAX_PROP","Estate","InherTax","MERICCOLIndex","StatePop","StateSpending","StateOpDef","EmpGrowthYE9YE15","totalPerwt","meanIncomeAll","pctRetiree","dolOut","dolIn","netDolvStSpend","netDolvOpInc","deathTax","region","netDol"
"1","North Dakota",1847341,80715419160,139779,3877711011,0.075664969272051,43692.7557825004,27741.7280922027,84714,30711.8851429516,0.0458572618698984,3,-2970.15705074889,29354,0.0322,0.0682,12.2,0.09,NA,NA,99.4,757952,6074,3130018000,0.210649555585092,2923480,38708.6350541136,63.2,674533059.478901,1005349383.68296,0.0108928654660541,0.0211383017097067,NA,"north dakota",66
"2","Colorado",12973322,621095513450,634769,24726493001,0.0489287940282373,47874.8244628477,38953.5295532706,472815,37661.1353637258,0.0364451757229182,1.2,1292.39418954479,47445,0.0463,0.0752,25.8,0.089,NA,NA,103.8,5540545,24285,1360837000,0.161566539896099,21183821,38882.7011931889,61.2,4657285298.56704,6467116917.39774,0.0149049340649018,0.265988008678585,NA,"colorado",362
"3","Delaware",2130966,96038565891,99896,3496764334,0.0468782702304964,45068.0892567033,35004.0475494514,77045,41686.888571614,0.0361549644621266,1.1,-6682.84102216256,29349,0.066,0,36.1,0.102,1,NA,101.4,952065,7355,-182270000,0.106828362230817,3781401,35978.4222125609,56.4,808644814.705304,880400395.422149,0.00195120545796997,0.0787354811179521,1,"delaware",14
"4","South Carolina",10224008,384167844799,450240,14751655212,0.0440375242272893,37575.0727893601,32763.9819029851,343690,36166.7531380023,0.0336159752613652,1,-3402.7712350172,34394,0.07,0.0722,46.1,0.084,NA,NA,99.2,4961119,14926,1471147000,0.137150019842836,19397250,29325.6106461483,52.7,3179185720.34494,3772942914.77927,0.00795601225290537,0.0807203079548581,NA,"south carolina",119
"5","Oregon",8790289,367469789259,380382,12703739681,0.0432729799896226,41804.0623304877,33397.3208011946,298436,33296.1947519736,0.0339506471288942,0.9,101.126049220969,57844,0.099,0,34,0.103,1,NA,115.6,4093465,22091,1188500000,0.140441048618796,16127631,32854.5802165861,54.5,2522123314.18286,3224423584.1758,0.00635824788368957,0.118182628522159,1,"oregon",140
"6","Washington",16324319,803905432023,626817,26140293432,0.0383977426562174,49245.8786196839,41703.2298613471,510046,37502.0624139783,0.0312445499257886,0.7,4201.16744736875,35443,0,0.0889,33,0.093,1,NA,105.2,7288000,26670,1756082000,0.131722631821046,28292866,38151.0562957107,57.7,4927151538.36617,6733515739.70682,0.013546038255273,0.205726634785921,1,"washington",361
"7","Wyoming",1447604,61896894316,98349,2859611293,0.0679391601570595,42758.1675071359,29076.1603371666,88945,33083.707234808,0.0614429084197059,0.6,-4007.5468976414,46927,0,0.0542,21.2,0.071,NA,NA,91.8,585501,6539,2117410324,0.036364862283255,2318556,36087.4609054084,62.4,743097430.771713,722132772.149041,-0.000641219104531935,-0.0019802169078941,NA,"wyoming",-4
"8","Montana",2303144,86326286633,111736,3014900588,0.0485145522815768,37481.9319300052,26982.3565189375,96827,28943.2540820226,0.0420412271225768,0.6,-1960.89756308508,39797,0.069,0,21.2,0.087,NA,NA,100.8,1042520,4194,418190000,0.080992626624779,4149312,31388.9295659136,55.5,704128846.528475,757497667.324549,0.0025450081447818,0.0255237192644847,NA,"montana",11
"9","Hawaii",3275929,143624595086,180396,7201760064,0.0550671275232156,43842.4016778141,39921.9498436772,160218,37055.918804379,0.048907653370998,0.6,2866.03103929821,67638,0.0825,0.0435,67.4,0.102,1,NA,167.9,1428557,9850,-117853000,0.102641693920901,5729058,35667.8878927391,57.2,1480414215.95101,1795779472.25314,0.0064033554579114,0.535184095953665,1,"hawaii",63
"10","Nevada",6258718,254843261697,294492,10179435752,0.0470530865905765,40718.1249733572,34566.0858427394,257733,36548.931180718,0.0411798390660835,0.6,-1982.84533797867,56695,0,0.0798,32.2,0.081,NA,NA,103.3,2940058,6929,488286000,0.132817255901545,11237216,31812.4564850404,55.7,2464574094.81222,2663304818.39573,0.00573620215279287,0.081399312527293,NA,"nevada",40
